CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,REGS_CON_MISMO_CODIGO,TELEFONO_ORIG,TELEFONO_DIG,TELEFONO_8DIG,TELEFONOS_VALIDOS
16-01-0483-46,16-031,Alta Verapaz,Coban,Liceo Americano Del Norte,5Ta. Calle 2-23 Zona 4,79514754,Patricio Najarro Asencio,José Cupertino Reyes Garcia,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,1,79514754,79514754,79514754,79514754
16-01-0558-46,16-005,Alta Verapaz,Coban,"Instituto Normal Preprimaria Bilingue Adscrito Al Instituto Normal Mixto Del Norte ""Emilio Rosales Ponce""",3A. Ave. 6-23 Zona 11,79521468,Nora Liliana Figueroa Hernández,Victor Hugo Domínguez Reyes,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,79521468,79521468,79521468,79521468
16-01-0559-46,16-005,Alta Verapaz,Coban,Instituto Normal Primaria Bilingue Intercultural Ads. Al Instituto Emilio Rosales Ponce,3A. Ave. 6-23 Zona 11,79521468,Nora Liliana Figueroa Hernández,Victor Hugo Domínguez Reyes,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,79521468,79521468,79521468,79521468
16-01-0563-46,16-031,Alta Verapaz,Coban,Centro De Formacion Integral Las Conchas Fmg,Aldea Las Conchas,79522793,Patricio Najarro Asencio,David Waldemar Urrutia Choc,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,79522793,79522793,79522793,79522793
16-01-0565-46,16-031,Alta Verapaz,Coban,"Instituto Mixto Privado ""Salud Y Desarrollo""",Diagnonal 1 1-26 Zona 1,51922050,Patricio Najarro Asencio,Samantha Gabriela De La Cruz Morales,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,1,51922050,51922050,51922050,51922050
16-01-0568-46,16-031,Alta Verapaz,Coban,Instituto Privado Raul Chenal Heinemann,5A. Calle 1-06 Zona 3,79510413,Patricio Najarro Asencio,Silvia Beatriz Soto Chén,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ,1,79510413,79510413,79510413,79510413
16-01-0572-46,16-031,Alta Verapaz,Coban,Liceo Miguel Angel Asturias,7A. Calle 1-13 Zona 3,79511103,Patricio Najarro Asencio,Jayron Ariel Coy Cacao,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,79511103,79511103,79511103,79511103
16-01-0573-46,16-031,Alta Verapaz,Coban,Colegio Cristiano Bilingue Verbo,4A. Calle A 4-32 Zona 8,77945181,Patricio Najarro Asencio,Lesly Eugenia Chocooj Vidaurre,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,77945181,77945181,77945181,77945181
16-01-0574-46,16-005,Alta Verapaz,Coban,Escuela Nacional De Ciencias Comerciales,2A. Calle 11-10 Zona 2,53530198,Nora Liliana Figueroa Hernández,Héctor Rolando Chun Poou,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,53530198,53530198,53530198,53530198
16-01-0583-46,16-031,Alta Verapaz,Coban,Colegio Nuevos Senderos,"3A. Calle 3-74, Zona 3",79417300,Patricio Najarro Asencio,Zoyla Argentina Mollinedo Alvarado,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,79417300,79417300,79417300,79417300
16-01-0604-46,16-031,Alta Verapaz,Coban,Instituto Privado Raul Chenal Heinemann,"5A. Calle 1-06, Zona 3",79510413,Patricio Najarro Asencio,Silvia Beatriz Soto Chén,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,79510413,79510413,79510413,79510413
16-01-0609-46,16-031,Alta Verapaz,Coban,Instituto Mixto De Educacion Bilingue Intercultural -Imebi-,Lotificacion Chivencorral,30367501,Patricio Najarro Asencio,Juan Pascual Lucas Antonio,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,30367501,30367501,30367501,30367501
16-01-0612-46,16-031,Alta Verapaz,Coban,Instituto De Magisterio De Educacion Preprimaria Infantil Bilingue Intercultural Luz Del Saber,"Calzada Rabin Ajau, Zona 1",57565646,Patricio Najarro Asencio,Thelma Martina Pop Tzir,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,57565646,57565646,57565646,57565646
16-01-0613-46,16-031,Alta Verapaz,Coban,"Colegio Particular Mixto ""Anton De Montesinos""",1A. Calle 7-22 Zona 3,77259205,Patricio Najarro Asencio,Margarita Villalobos Ligorría,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,77259205,77259205,77259205,77259205
16-01-0616-46,16-037,Alta Verapaz,Coban,Instituto Nacional De Educacion Diversificada,Aldea Salacuim,57655184,Cesar Rigoberto Cuc Caal,Axel Abelardo Chub Leal,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,57655184,57655184,57655184,57655184
16-01-0642-46,16-005,Alta Verapaz,Coban,Instituto Nacional De Educacion Diversificada,Aldea Choval,53331646,Nora Liliana Figueroa Hernández,Gilda Aracely Wellmann Duarte,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,53331646,53331646,53331646,53331646
16-01-0651-46,16-031,Alta Verapaz,Coban,Centro De Formación Integral Ciudad De La Esperanza,6A. Av. 10-68 Zona 12 Colonia El Esfuerzo I,77367652,Patricio Najarro Asencio,Byron Anibal Gómez Gatica,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,77367652,77367652,77367652,77367652
16-01-0652-46,16-037,Alta Verapaz,Coban,Instituto Maya Comunitario K'Amolb'E,Aldea Nimlajacoc,30621374,Cesar Rigoberto Cuc Caal,Jose Lino Quib Che,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,30621374,30621374,30621374,30621374
16-01-0664-46,16-031,Alta Verapaz,Coban,Liceo Americano Del Norte,5Ta. Avenida 2-23 Zona 4,79514754,Patricio Najarro Asencio,José Cupertino Reyes Garcia,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,79514754,79514754,79514754,79514754
16-01-0668-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Imperial,"5A Calle 1-98, Zona 3",57101061,Patricio Najarro Asencio,Susely Beatriz Elías Pop,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ,1,57101061,57101061,57101061,57101061
16-01-0671-46,16-031,Alta Verapaz,Coban,Colegio Privado Mixto Tecnológico En Informática,2A. Calle 12-23 Zona 4,79521190,Patricio Najarro Asencio,Jorge Salvador Juárez Sierra,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ,1,79521190,79521190,79521190,79521190
16-01-0672-46,16-031,Alta Verapaz,Coban,Ica,11Avenida 1-10 Zona 1,33509500,Patricio Najarro Asencio,Laidy Andrea Chocooj Tiul,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,33509500,33509500,33509500,33509500
16-01-0678-46,16-031,Alta Verapaz,Coban,Colegio La Libertad,3A. Avenida Cinco Guion Doce (5-12),48979726,Patricio Najarro Asencio,Silvia Yolanda Caal Quim,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,1,48979726,48979726,48979726,48979726
16-01-0681-46,16-031,Alta Verapaz,Coban,Instituto Mixto Privado Santo Domingo,"2A. Calle 11-10, Zona 2",79529830,Patricio Najarro Asencio,América Nuila Luther,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,1,79529830,79529830,79529830,79529830
16-01-0690-46,16-031,Alta Verapaz,Coban,"Isea ""La Escuela En Su Casa""",1A. Av. 4-24 Zona 2,77930803,Patricio Najarro Asencio,Ludwing Joel Noriega Morales,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ,1,77930803,77930803,77930803,77930803
16-01-0694-46,16-031,Alta Verapaz,Coban,Colegio La Libertad,3A. Av. 5-12 Zona 4,55564568,Patricio Najarro Asencio,Silvia Yolanda Caal Quim,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,ALTA VERAPAZ,1,55564568,55564568,55564568,55564568
16-01-0703-46,16-031,Alta Verapaz,Coban,Instituto Mixto Privado Salud Y Desarrollo,Diagnonal 1 1-26 Zona 1,51922050,Patricio Najarro Asencio,Samantha Gabriela De La Cruz Morales,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,51922050,51922050,51922050,51922050
16-01-0705-46,16-050,Alta Verapaz,Coban,Programa Nacional De Educación Alternativa Pronea,7A. Av. 2-18 D Zona 1,45587767,Maximiliano Chub Ical,--,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ALTA VERAPAZ,1,45587767,45587767,45587767,45587767
16-01-0710-46,16-031,Alta Verapaz,Coban,Oxford Bilingual School,2Da. Calle 16-94 Zona 4,79513898,Patricio Najarro Asencio,Darwin Roberto Iglesias De La Cruz,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,79513898,79513898,79513898,79513898
16-01-0712-46,16-050,Alta Verapaz,Coban,Enbi Centro De Educación Extraescolar -Ceex-,10 Avenida 1-25 Zona 3,79521302,Maximiliano Chub Ical,Anabela Cecilia Bol Caal,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,79521302,79521302,79521302,79521302
16-01-0909-46,16-031,Alta Verapaz,Coban,"Isea ""La Escuela En Su Casa""","2A. Calle ""A"" 11-10, Zona 1",77256954,Patricio Najarro Asencio,Ludwing Joel Noriega Morales,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,1,77256954,77256954,77256954,77256954
16-01-0910-46,16-031,Alta Verapaz,Coban,Colegio De Informatica Ceninfav,"12 Avenida 2-12, Zona 1",79521765,Patricio Najarro Asencio,Héctor Vidal Bol Cú,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,1,79521765,79521765,79521765,79521765
16-01-0912-46,16-031,Alta Verapaz,Coban,Colegio Privado Mixto Tecnologico En Informatica,"2A. Calle 12-23, Zona 4",79511459,Patricio Najarro Asencio,Daniel Bernardo Ramirez González,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,1,79511459,79511459,79511459,79511459
16-01-0913-46,16-031,Alta Verapaz,Coban,Instituto Mixto Privado Salud Y Desarrollo,"Diagonal 1 1-26, Zona 1",59584790,Patricio Najarro Asencio,Samantha Gabriela De La Cruz Morales,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,1,59584790,59584790,59584790,59584790
16-01-0915-46,16-031,Alta Verapaz,Coban,Instituto Mixto Privado Santo Domingo,"2A. Calle 11-10, Zona 2",79529830,Patricio Najarro Asencio,América Nuila Luther,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,1,79529830,79529830,79529830,79529830
16-01-0917-46,16-031,Alta Verapaz,Coban,Instituto Privado Mixto Monja Blanca,"Diagonal 3 14-11, Zona 2",79513896,Patricio Najarro Asencio,Edwin Armando Catún Caal,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,1,79513896,79513896,79513896,79513896
16-01-0918-46,16-031,Alta Verapaz,Coban,Liceo Preuniversitario De Norte,"3A. Avenida 8-32, Zona 10",79417346,Patricio Najarro Asencio,Zoila Imena López Rodas,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,1,79417346,79417346,79417346,79417346
16-01-0919-46,16-031,Alta Verapaz,Coban,"Liceo Mixto Particular ""San Benito""","9A. Avenida 4-55, Zona 4",37058145,Patricio Najarro Asencio,Henri Marco Artola Teyul,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,37058145,37058145,37058145,37058145
16-01-0922-46,16-031,Alta Verapaz,Coban,Colegio La Libertad,"3A. Avenida 5-12, Zona 4",33857209,Patricio Najarro Asencio,Silvia Yolanda Caal Quim,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,1,33857209,33857209,33857209,33857209
16-01-0926-46,16-005,Alta Verapaz,Coban,Instituto Nacional De Educación Diversificada,2A. Calle 1-99 Zona 4 Coban,33622052,Nora Liliana Figueroa Hernández,Selvin Edder Hernández Molina,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ,1,33622052,33622052,33622052,33622052
16-01-0927-46,16-005,Alta Verapaz,Coban,Instituto Nacional De Educación Diversificada,2A. Calle 1-99 Zona 4,33622052,Nora Liliana Figueroa Hernández,Selvin Edder Hernández Molina,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ,1,33622052,33622052,33622052,33622052
16-01-0986-46,16-031,Alta Verapaz,Coban,Colegio Mixto La Excelencia,"2A. Calle 8-18 Zona 4, Coban",41114848,Patricio Najarro Asencio,Zuly Beatriz López Winter,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,1,41114848,41114848,41114848,41114848
16-01-0987-46,16-031,Alta Verapaz,Coban,Colegio Mixto La Excelencia,"2A. Calle 8-18 Zona 4, Coban",41114848,Patricio Najarro Asencio,Zuly Beatriz López Winter,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ,1,41114848,41114848,41114848,41114848
16-01-0990-46,16-031,Alta Verapaz,Coban,"Liceo Mixto Particular ""San Benito""","9A. Avenida 4-55, Zona 4",37058145,Patricio Najarro Asencio,Henri Marco Artola Teyul,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ALTA VERAPAZ,1,37058145,37058145,37058145,37058145
16-01-0991-46,16-031,Alta Verapaz,Coban,"Liceo Mixto Particular ""San Benito""","9A. Avenida 4-55, Zona 4",37058145,Patricio Najarro Asencio,Henri Marco Artola Teyul,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,1,37058145,37058145,37058145,37058145
16-01-0994-46,16-050,Alta Verapaz,Coban,Centro De Educación Extraescolar -Ceex-,Barrio Chivencorral Zona 12,49972934,Maximiliano Chub Ical,Henrry Alexander De Los Santos Mutz,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ,1,49972934,49972934,49972934,49972934
16-01-0997-46,16-004,Alta Verapaz,Coban,Centro Educativo Betania,San Benito I,42183442,Aquiles Giovani Bac Guevara,Sandra Julieta Pérez Ramos,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,42183442,42183442,42183442,42183442
16-01-1001-46,16-031,Alta Verapaz,Coban,Liceo Dr. Ricardo Bressani,1A. Avenida 5-56 Zona 2,79521633,Patricio Najarro Asencio,Belsy Claribel Santisteban Archila,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,VIRTUAL A DISTANCIA,ALTA VERAPAZ,1,79521633,79521633,79521633,79521633
16-01-1002-46,16-031,Alta Verapaz,Coban,Colegio Cristiano Elim,"Diagonal 3, 11-04, Zona 2",44779923,Patricio Najarro Asencio,Selvin Dario Rosales Aguirre,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,44779923,44779923,44779923,44779923
16-01-1005-46,16-031,Alta Verapaz,Coban,Liceo Chaab'Il B'E,8A. Avenida 4-39 Zona 4,56969292,Patricio Najarro Asencio,Allan Noel Macz Chiquin,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,VIRTUAL A DISTANCIA,ALTA VERAPAZ,1,56969292,56969292,56969292,56969292
16-01-1008-46,16-031,Alta Verapaz,Coban,Colegio Hispanoamericano,9A. Avenida 2-22 Zona 1,77738763,Patricio Najarro Asencio,Octavio Ismael Batz Choc,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,77738763,77738763,77738763,77738763
16-01-1009-46,16-031,Alta Verapaz,Coban,Colegio Bilingüe Bet-Luz,7A. Calle 11-233 Zona 6,45379823,Patricio Najarro Asencio,Celeste Leticia Yat Macz,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,45379823,45379823,45379823,45379823
16-01-1174-46,16-031,Alta Verapaz,Coban,Instituto Privado Raul Chenal Heinemann,5A. Calle 1-06 Zona 3,79510413,Patricio Najarro Asencio,Silvia Beatriz Soto Chén,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,79510413,79510413,79510413,79510413
16-01-1175-46,16-031,Alta Verapaz,Coban,Instituto Privado Raul Chenal Heinemann,5Ta. Calle 1-06 Zona 3,79520414,Patricio Najarro Asencio,Silvia Beatriz Soto Chén,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,1,79520414,79520414,79520414,79520414
16-01-1394-46,16-031,Alta Verapaz,Coban,Instituto Privado Mixto Monja Blanca,"Diagonal 3, 14-11 Zona 2",79513896,Patricio Najarro Asencio,Edwin Armando Catún Caal,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,1,79513896,79513896,79513896,79513896
16-01-1469-46,16-031,Alta Verapaz,Coban,Colegio Privado Mixto Tecnologico En Informatica,2A. Calle 12-23 Zona 4,79511459,Patricio Najarro Asencio,Daniel Bernardo Ramirez González,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,1,79511459,79511459,79511459,79511459
16-01-2156-46,16-031,Alta Verapaz,Coban,Colegio Particular Mixto Imperial,5A. Calle 1-98 Zona 3,57101061,Patricio Najarro Asencio,Farewell Luther Osorio,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,57101061,57101061,57101061,57101061
16-01-3041-46,16-005,Alta Verapaz,Coban,Instituto De Bachillerato Ads. Al Instituto Normal Mixto Del Norte Emilio Rosales Ponce,3Avenida 6-23 Zona 11,79521468,Nora Liliana Figueroa Hernández,Victor Hugo Domínguez Reyes,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,79521468,79521468,79521468,79521468
16-01-6190-46,16-031,Alta Verapaz,Coban,Liceo Miguel Angel Asturias,7A. Calle 1-13 Zona 3,79511103,Patricio Najarro Asencio,Jayron Ariel Coy Cacao,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,79511103,79511103,79511103,79511103
16-01-6191-46,16-031,Alta Verapaz,Coban,Colegio Privado Mixto Tecnológico En Informatica,2A. Calle 12-23 Zona 4,79511459,Patricio Najarro Asencio,Jorge Salvador Juárez Sierra,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,1,79511459,79511459,79511459,79511459
16-01-8294-46,16-031,Alta Verapaz,Coban,Liceo Preuniversitario Del Norte,3A. Avenida 8-32 Barrio La Libertad Zona 10,49745753,Patricio Najarro Asencio,Oscar Alfredo Molina Cú,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ,1,49745753,49745753,49745753,49745753
16-01-8331-46,16-031,Alta Verapaz,Coban,Liceo Preuniversitario Del Norte,3A. Avenida 8-32 Barrio La Libertad Zona 10,49745753,Patricio Najarro Asencio,Zoila Imena López Rodas,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,1,49745753,49745753,49745753,49745753
